,name,metacritic_review_count,metacritic_review_score,user_review_count,user_review_score,developer,publisher,platforms,genres,esrb,must_play
0,The Legend of Zelda: Ocarina of Time,Based on 22 Critic Reviews,99,"Based on 10,273 User Ratings",9.1,Developer:           Nintendo,Publisher: Nintendo,['Nintendo 64'],['Open-World Action'],Rated E                           for Everyone,1
1,SoulCalibur,Based on 24 Critic Reviews,98,Based on 574 User Ratings,7.8,Developer:           Namco,Publisher: Namco,"['Dreamcast', 'iOS (iPhone/iPad)', 'Xbox 360']",['3D Fighting'],Rated T                           for Teen,1
2,Grand Theft Auto IV,Based on 86 Critic Reviews,98,"Based on 4,462 User Ratings",8.3,Developer:           Rockstar North,Publisher: Rockstar Games,"['PlayStation 3', 'Xbox 360', 'PC']",['Open-World Action'],Rated M                           for Mature,1
3,Super Mario Galaxy,Based on 73 Critic Reviews,97,"Based on 4,027 User Ratings",9.1,Developer:           Nintendo,Publisher: Nintendo,['Wii'],['3D Platformer'],Rated E                           for Everyone,1
4,Super Mario Galaxy 2,Based on 87 Critic Reviews,97,"Based on 2,857 User Ratings",9.0,Developer:           Nintendo EAD Tokyo,Publisher: Nintendo,['Wii'],['3D Platformer'],Rated E                           for Everyone,1
5,The Legend of Zelda: Breath of the Wild,Based on 117 Critic Reviews,97,"Based on 23,783 User Ratings",8.9,Developer:           Nintendo,Publisher: Nintendo,"['Wii U', 'Nintendo Switch']",['Open-World Action'],Rated E +10                           for Everyone +10,1
6,Tony Hawk's Pro Skater 3,Based on 34 Critic Reviews,97,Based on 584 User Ratings,7.7,Developer:           Neversoft Entertainment,Publisher: Activision,"['PlayStation 2', 'GameCube', 'Xbox', 'PlayStation', 'PC', 'Game Boy Advance', 'Nintendo 64']",['Skating'],Rated T                           for Teen,1
7,Perfect Dark (2000),Based on 30 Critic Reviews,97,Based on 555 User Ratings,8.5,Developer:           Rare Ltd.,Publisher: Rare Ltd.,"['Nintendo 64', 'Xbox 360']",['FPS'],Rated M                           for Mature,1
8,Red Dead Redemption 2,Based on 109 Critic Reviews,97,"Based on 28,071 User Ratings",8.9,Developer:           Rockstar Games,Publisher: Rockstar Games,"['Xbox One', 'PlayStation 4', 'PC']",['Open-World Action'],Rated M                           for Mature,1
9,Grand Theft Auto V,Based on 66 Critic Reviews,97,"Based on 12,182 User Ratings",8.5,Developer:           Rockstar North,Publisher: Rockstar Games,"['PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'PC', 'PlayStation 5', 'Xbox Series X']",['Open-World Action'],Rated M                           for Mature,1
10,Metroid Prime,Based on 70 Critic Reviews,97,"Based on 1,466 User Ratings",9.1,Developer:           Retro Studios,Publisher: Nintendo,"['GameCube', 'Wii']",['FPS'],Rated T                           for Teen,1
11,Grand Theft Auto III,Based on 56 Critic Reviews,97,"Based on 1,673 User Ratings",8.1,Developer:           DMA Design,Publisher: Rockstar Games,"['PlayStation 2', 'PC', 'iOS (iPhone/iPad)', 'Xbox', 'PlayStation 4', 'Game Boy Advance']",['Open-World Action'],Rated M                           for Mature,1
12,Super Mario Odyssey,Based on 124 Critic Reviews,97,"Based on 9,472 User Ratings",8.9,Developer:           Nintendo,Publisher: Nintendo,['Nintendo Switch'],['3D Platformer'],Rated E +10                           for Everyone +10,1
13,Halo: Combat Evolved,Based on 68 Critic Reviews,97,"Based on 2,999 User Ratings",8.6,Developer:           Bungie,Publisher: Microsoft Game Studios,"['PC', 'Xbox']",['FPS'],Rated M                           for Mature,1
14,NFL 2K1,Based on 22 Critic Reviews,97,Based on 114 User Ratings,5.8,Developer:           Visual Concepts,Publisher: Sega,['Dreamcast'],['Football Sim'],Rated E                           for Everyone,1
15,Half-Life 2,Based on 81 Critic Reviews,96,"Based on 9,642 User Ratings",9.1,Developer:           Valve Software,Publisher: VU Games,"['PC', 'Xbox']",['FPS'],Rated M                           for Mature,1
16,BioShock,Based on 88 Critic Reviews,96,"Based on 3,139 User Ratings",8.8,Developer:           Irrational Games                  2K Marin,Publisher: 2K Games,"['Xbox 360', 'PC', 'PlayStation 3', 'iOS (iPhone/iPad)']",['FPS'],Rated M                           for Mature,1
